Comment,Designator,Footprint,LCSC,Quantity
"5.1k, 1%","R2,R3",R_0402_1005Metric,C105872,2
1k,"R4,R5,R8",R_0402_1005Metric,C11702,3
"36.5k, 1%",R1,R_0402_1005Metric,C15011,1
TPS63900,U2,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,C1518762,1
TP4056-42-ESOP8,U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
TYPE-C-31-M-12,J1,TYPE-C-31-M-12,C165948,1
1N5819WS,"D4,D5,D6",D_SOD-323,C191023,3
"LED,0603,Red",LED1,LED_0603_1608Metric,C2286,1
"LED,0603,White",LED4,LED_0603_1608Metric,C2290,1
100,"R15,R16,R7",R_0402_1005Metric,C25076,3
"33R, 1%","R10,R9",R_0402_1005Metric,C25105,2
10k,"R13,R14,R17,R18",R_0402_1005Metric,C25531,4
1.2k,R6,R_0402_1005Metric,C25862,1
"5.5k, 1%","R11,R12",R_0402_1005Metric,C26970,2
FS8205,U5,SOT-23-6,C2830320,1
ESP32-C3-MINI-1,U1,ESP32-C3-MINI-1,C2934569,1
DW01A,U4,SOT-23-6,C351410,1
22uF,C2,C_0402_1005Metric,C415703,1
LSM6DSV16X,U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C5267406,1
"LED,0603,Yellow",LED2,LED_0603_1608Metric,C72038,1
TS-1088-AR02016,"SW2,SW3",TS-1088-AR02016,C720477,2
10uF,C1,C_0402_1005Metric,C77000,1
100nF,"C3,C5,C6,C7",C_0402_1005Metric,C77008,4
10uF,C4,C_0805_2012Metric,C77075,1
2.2uH,L1,L_Murata_DFE201610P,C83998,1
"LED,0603,Green",LED3,LED_0603_1608Metric,C84264,1
BATT,J2,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,,1
